unit,rows,share
<missing>,415,0.2365
N,248,0.1413
V/m,173,0.0986
-,126,0.0718
V,76,0.0433
J,70,0.0399
Ω,68,0.0387
A,63,0.0359
W,61,0.0348
μF,41,0.0234
pF,40,0.0228
nC,40,0.0228
%,39,0.0222
mJ,37,0.0211
nJ,35,0.0199
Hz,30,0.0171
H,29,0.0165
mH,16,0.0091
N/C,15,0.0085
µF,14,0.008
cm,10,0.0057
μJ,10,0.0057
C,10,0.0057
T,10,0.0057
Wb,10,0.0057
μC,8,0.0046
cm; %,7,0.004
turns/m,7,0.004
J/m³,4,0.0023
g; g,3,0.0017
rad/s,3,0.0017
μWb,3,0.0017
s,3,0.0017
mT,3,0.0017
cm; cm,3,0.0017
lần,3,0.0017
A; A,2,0.0011
mN,2,0.0011
°C; °C,2,0.0011
kg; %,2,0.0011
mm,1,0.0006
rad,1,0.0006
nF,1,0.0006
kV/m,1,0.0006
Độ,1,0.0006
m,1,0.0006
kg,1,0.0006
A; A; A,1,0.0006
μJ; μC,1,0.0006
μC; μJ,1,0.0006
m; %,1,0.0006
mC,1,0.0006
°C; %,1,0.0006
V; V,1,0.0006
